E,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39
0.03,7.8804E-06,2.08532E-05,3.39975E-05,5.10265E-05,7.32153E-05,9.77498E-05,0.000121531,0.000152645,0.000192354,0.000236787,0.000285941,0.000342459,0.000407846,0.000481899,0.000576133,0.000658996,0.000774153,0.000901694,0.00104862,0.00120237,0.00183638,0.00270947,0.00384955,0.00531414,0.00707498,0.00929226,0.0118952,0.0149938,0.0184084,0.0220858,0.0270234,0.0315534,0.0359407,0.0422671,0.0640785,0.090368,0.115397,0.140252,0.164034
0.0345419,2.45385E-05,6.34951E-05,0.000109128,0.000166796,0.00023127,0.000299041,0.000375794,0.00046957,0.000572206,0.000681869,0.000811201,0.000958397,0.00112611,0.00131255,0.00150154,0.00173798,0.00198708,0.00228128,0.00257606,0.00291876,0.00432033,0.00603942,0.00815687,0.0107951,0.0140394,0.0177626,0.0222091,0.0269247,0.0321747,0.0386458,0.0455102,0.0510764,0.059781,0.0671749,0.0992745,0.133553,0.166738,0.19849,0.229949
0.0397713,5.82618E-05,0.00015635,0.000277198,0.000412922,0.000557044,0.000719252,0.000907534,0.00111477,0.00133344,0.00157577,0.00186392,0.0021779,0.00251254,0.00289097,0.00330118,0.00376164,0.00425415,0.00480201,0.00539521,0.00604318,0.00842189,0.0114887,0.0151987,0.0195706,0.0246546,0.0304986,0.036902,0.0438947,0.0522263,0.0612207,0.0697984,0.079539,0.0903754,0.0990196,0.143604,0.186426,0.231468,0.273013,0.310672
0.0457925,0.000123253,0.000342425,0.000587523,0.000852703,0.00114417,0.00148102,0.00184475,0.00223719,0.00266195,0.00314544,0.00367783,0.00424159,0.00485431,0.00551356,0.0062889,0.0070683,0.00793447,0.00886016,0.00985513,0.0109312,0.0150316,0.0198266,0.0254596,0.0319724,0.0393911,0.047742,0.0567614,0.0673766,0.0785196,0.0902558,0.101497,0.116044,0.12835,0.141472,0.198719,0.255068,0.31293,0.367867,0.417321
0.0527253,0.000243868,0.000646927,0.0010839,0.00155883,0.00210275,0.00269584,0.00332649,0.00399636,0.00475321,0.00558274,0.00645731,0.00739579,0.00841561,0.00954852,0.0107305,0.0119923,0.0133557,0.014796,0.0163783,0.0180305,0.0239032,0.0310551,0.0392696,0.048622,0.0589822,0.0704487,0.083258,0.0971606,0.111664,0.125881,0.143334,0.160636,0.175179,0.195836,0.265828,0.343437,0.416519,0.489259,0.55951
0.0607077,0.000411602,0.00107946,0.00179761,0.00260768,0.00349649,0.00444148,0.00544636,0.00654793,0.00775296,0.00903853,0.0103765,0.0118298,0.0134277,0.0151335,0.0168981,0.0187723,0.0207715,0.0229444,0.0251727,0.0275319,0.0362452,0.0461377,0.0573871,0.069999,0.0839925,0.0993696,0.11631,0.134096,0.152412,0.172641,0.195295,0.214946,0.238327,0.262265,0.355317,0.45647,0.552357,0.651261,0.74659
0.0698986,0.000639773,0.0016665,0.00281356,0.00406417,0.00539743,0.00680736,0.00833892,0.0100136,0.0117791,0.0136515,0.0156178,0.0177987,0.0200704,0.0224083,0.0249773,0.0276208,0.0305031,0.0334311,0.036533,0.0398297,0.0515357,0.0649009,0.0800835,0.0969904,0.115618,0.135823,0.15781,0.18043,0.205309,0.232791,0.260159,0.285999,0.319536,0.346391,0.474942,0.604092,0.737483,0.866792,0.991263
0.0804809,0.0009324,0.00248323,0.00417429,0.00597701,0.00787431,0.00993497,0.0121681,0.0145194,0.0169762,0.0196369,0.0224476,0.0254528,0.0285672,0.0318869,0.0353242,0.0390658,0.0428649,0.0468918,0.0511038,0.0554992,0.0713395,0.0893184,0.10936,0.131546,0.156081,0.18259,0.210766,0.241815,0.275678,0.311243,0.342662,0.385095,0.423642,0.456883,0.631218,0.798102,0.980011,1.15067,1.30424
0.0926653,0.00136014,0.00358107,0.00594637,0.00843133,0.0111221,0.0140173,0.0170771,0.0202702,0.0236913,0.0273612,0.0312166,0.0352358,0.0394622,0.0440042,0.048748,0.053671,0.0587609,0.0641751,0.069822,0.0757784,0.0969377,0.120707,0.147242,0.177095,0.209468,0.245104,0.283166,0.32553,0.36928,0.412534,0.460798,0.514862,0.558004,0.617983,0.83465,1.06659,1.2967,1.51968,1.72587
0.106694,0.00190769,0.00496911,0.00818029,0.0116388,0.0153817,0.0193277,0.0234231,0.027853,0.0325684,0.0375401,0.042737,0.0482026,0.0540093,0.0600516,0.0665332,0.0730679,0.0801154,0.0874773,0.0952441,0.103149,0.131399,0.163596,0.199721,0.239594,0.282867,0.330825,0.382369,0.437231,0.493383,0.551465,0.620083,0.683094,0.746134,0.823273,1.09948,1.40931,1.69791,1.98454,2.2548
